chemical_name,chemical_type,who_hazard_class,toxicity_score,toxicity_intensity,human_health_effects,environmental_effects,regulatory_status,recommended_alternative
DDT Variant 11,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 11,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 12,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 12,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 12,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 12,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 12,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 13,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 13,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 13,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 13,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 13,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 14,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 14,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 14,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 14,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 14,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 15,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 15,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 15,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 15,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 15,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 16,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 16,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 16,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 16,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 16,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 17,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 17,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 17,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 17,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 17,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 18,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 18,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 18,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 18,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 18,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 19,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 19,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 19,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 19,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 19,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 20,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 20,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 20,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 20,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 20,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 21,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 21,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 21,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 21,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 21,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 22,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 22,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 22,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 22,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 22,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 23,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 23,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 23,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 23,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 23,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 24,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 24,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 24,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 24,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 24,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 25,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 25,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 25,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 25,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 25,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 26,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 26,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 26,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 26,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 26,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 27,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 27,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 27,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 27,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 27,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 28,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 28,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 28,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 28,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 28,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 29,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 29,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 29,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 29,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 29,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 30,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 30,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 30,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 30,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 30,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 31,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 31,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 31,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 31,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 31,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 32,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 32,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 32,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 32,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 32,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 33,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 33,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 33,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 33,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 33,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 34,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 34,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 34,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 34,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 34,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 35,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 35,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 35,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 35,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 35,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 36,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 36,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 36,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 36,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 36,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 37,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 37,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 37,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 37,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 37,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 38,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 38,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 38,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 38,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 38,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 39,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 39,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 39,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 39,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 39,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 40,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 40,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 40,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 40,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 40,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 41,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 41,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 41,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 41,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 41,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 42,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
